step 300, best 0.833333, current val accuracy 0.833333
step 600, best 0.833333, current val accuracy 0.833333
step 900, best 0.833333, current val accuracy 0.833333
step 1200, best 0.833333, current val accuracy 0.833333
step 1500, best 0.833333, current val accuracy 0.833333
step 1800, best 0.833333, current val accuracy 0.833333
step 2100, best 0.555556, current val accuracy 0.555556
step 2400, best 1.666667, current val accuracy 1.666667
step 2700, best 0.555556, current val accuracy 0.555556
step 3000, best 0.833333, current val accuracy 0.833333
step 3300, best 0.833333, current val accuracy 0.833333
step 3600, best 1.111111, current val accuracy 1.111111
step 3900, best 0.833333, current val accuracy 0.833333
step 4200, best 1.111111, current val accuracy 1.111111
step 4500, best 0.833333, current val accuracy 0.833333
step 4800, best 0.555556, current val accuracy 0.555556
step 5100, best 1.388889, current val accuracy 1.388889
step 5400, best 0.833333, current val accuracy 0.833333
step 5700, best 1.111111, current val accuracy 1.111111
step 6000, best 0.555556, current val accuracy 0.555556
step 6300, best 0.833333, current val accuracy 0.833333
step 6600, best 0.833333, current val accuracy 0.833333
step 6900, best 0.833333, current val accuracy 0.833333
step 7200, best 0.833333, current val accuracy 0.833333
step 7500, best 0.833333, current val accuracy 0.833333
step 7800, best 0.833333, current val accuracy 0.833333
step 8100, best 1.111111, current val accuracy 1.111111
step 8400, best 1.666667, current val accuracy 1.666667
step 8700, best 0.833333, current val accuracy 0.833333
step 9000, best 0.833333, current val accuracy 0.833333
step 9300, best 0.833333, current val accuracy 0.833333
step 9600, best 0.833333, current val accuracy 0.833333
step 9900, best 0.833333, current val accuracy 0.833333
step 10200, best 0.833333, current val accuracy 0.833333
